# z = redshift
# mhat = observed apparent magnitude
#
# z    mhat
#-----------
0.8311 24.358
0.8317 24.465
0.8326 24.476
0.8345 24.345
0.8348 24.303
0.8366 24.478
0.8381 24.416
0.8390 24.327
0.8405 24.303
0.8408 24.043
0.8440 24.318
0.8463 24.221
0.8504 24.409
0.8510 24.771
0.8515 24.368
0.8516 24.377
0.8529 24.756
0.8532 24.234
0.8553 24.197
0.8555 24.329
0.8560 24.181
0.8572 24.205
0.8581 24.449
0.8583 24.433
0.8600 24.516
0.8600 24.712
0.8608 24.204
0.8617 24.406
0.8641 24.462
0.8642 24.612
0.8649 24.385
0.8666 24.605
0.8687 24.231
0.8701 24.768
0.8715 24.448
0.8726 24.773
0.8755 24.401
0.8768 24.417
0.8769 24.457
0.8774 24.511
0.8778 24.358
0.8789 24.195
0.8802 24.216
0.8803 24.527
0.8816 24.755
0.8851 24.310
0.8861 24.140
0.8863 24.314
0.8876 24.745
0.8879 24.676
0.8905 24.664
0.8914 24.199
0.8918 24.439
0.8933 24.702
0.8940 24.695
0.8951 24.425
0.8966 24.696
0.8980 24.670
0.8982 24.232
0.8999 24.637
0.9006 24.763
0.9010 24.727
0.9019 24.460
0.9035 24.460
0.9037 24.566
0.9089 24.599
0.9115 24.648
0.9121 24.699
0.9121 24.665
0.9125 24.234
0.9140 24.549
0.9221 24.557
0.9241 24.619
0.9247 24.554
0.9288 24.621
0.9299 24.402
0.9307 24.493
0.9319 24.681
0.9344 24.673
0.9357 24.945
0.9377 24.215
0.9388 24.819
0.9403 24.620
0.9428 24.637
0.9440 24.568
0.9460 24.794
0.9460 24.611
0.9482 24.473
0.9491 24.550
0.9497 24.855
0.9498 24.340
0.9499 24.386
0.9522 24.808
0.9523 24.417
0.9544 24.600
0.9550 24.712
0.9570 24.938
0.9577 24.930
0.9602 24.569
0.9606 24.889
0.9624 24.907
0.9637 24.784
0.9642 24.685
0.9664 24.777
0.9675 24.667
0.9688 24.723
0.9705 24.744
0.9717 24.635
0.9722 24.771
0.9756 24.812
0.9764 24.671
0.9784 24.592
0.9808 24.909
0.9829 24.644
0.9835 24.969
0.9855 24.977
0.9874 25.148
0.9885 24.677
0.9886 24.671
0.9896 24.670
0.9899 24.641
0.9899 24.746
0.9899 24.527
